threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.05,0.05,1.0,0.09,0.05
0.1,0.12,0.93,0.22,0.67
0.15,0.16,0.66,0.26,0.82
0.2,0.19,0.45,0.27,0.88
0.25,0.23,0.31,0.26,0.92
0.3,0.25,0.24,0.25,0.93
0.35,0.27,0.21,0.24,0.94
0.4,0.29,0.14,0.19,0.94
0.45,0.4,0.14,0.21,0.95
0.5,0.5,0.1,0.17,0.95
0.55,0.75,0.1,0.18,0.96
0.6,0.0,0.0,0.0,0.95
0.65,0.0,0.0,0.0,0.95
0.7,0.0,0.0,0.0,0.95
0.75,0.0,0.0,0.0,0.95
0.8,0.0,0.0,0.0,0.95
0.85,0.0,0.0,0.0,0.95
0.9,0.0,0.0,0.0,0.95
0.95,0.0,0.0,0.0,0.95
1.0,0.0,0.0,0.0,0.95
